Address	Network	Name
0x360BBC11322C77Dadc1DDCdb26224271C96CFD47	Polygon	Beta Launch
0xB81E1db4771C28250C98b3099Ec9962e269b4022	Polygon	MGD
0x9B5B6B4E889faca1e4Fc836a12102d6ffe8B5f52	Polygon	EthCC Pool
0x0F59f76f021BAfA4bc3E264E75199aFE5D839335	Polygon	Summer Savers
0x4aC6C237160275144B63814227eC71797257e25a	Polygon	Mask
0xDe59e1fD6A33091c0f34c675ACc455d85620C7d6	Polygon	200 DAI monthly
0x379eAC144939570B3F9289580Ef7C8a1F7f76259	Polygon	50 DAI monthly
0xCC4655Afe3A6Ce03faE33625F5Dfb9592F8F1825	Polygon	Bankless
0x8d241842cCd0ABcF8E0700C0637019692Bf52458	Polygon	Quest Pool
0x6768A8A3dCD689aea3de2A3A51a7626040e8415b	Polygon	Cometh
0x83b47F72D880993CaCC7d612F80B75220ad9C217	Polygon	ETH Lisbon
0x388C3Df56A924594230e9Ca689CaBe29055b87CC	Polygon	Crypto Colosseum
0xB12695e555Ce0d0ed2B8d3db90A027e234697D98	Polygon	Advent
0xAc2dEf60D45B8bBA10cc08d32908364747eE5Af2	Polygon	Future
0x242418F5eC3c218fa339eDE8C31eA22a928FbD55	Polygon	Unstoppable
0x4dc2E489E2bC5A4fBF2bfDC3f204e53a0BAe5D45	Polygon	Aavegotchi
0x90CD21957b03b4014E0db2159Cd75CaD1C9d5486	Polygon	Matic March
0x90A47003f208b09bA8C74eA05C34CbF6fc73b4d8	Polygon	Spring Pool
0xd613Ede2ed8A05Ae00f51B2046a1281671643eb3	Polygon	Stable Spring
0x34962DF66e390b9aAE6F353D1437931D6e874d2b  Polygon SOS Pool
0xb0a8fFfd2bD0174d8Fd2d76F8f9072706576bFA1  Polygon ETHAmsterdam
0xb5D5B0967a746419e84F8a900Eef97fe40dEa614  Polygon Savings Showdown Pools: Round 1 - WETH
0x4D45240FfDA4E3DaA41F5564De99ecd2460F1F67  Polygon Savings Showdown Pools: Round 1 - WMATIC
0xaf96213BBb61675ea2f4b27B602a40b110FD9127	Polygon	Fight Pool
0x224Cc7e2E84947F491dBE03c24334021b8671FD4	Polygon	1st Anniversary Polygon Pool
0xc1FC9FF2ea44AaAa46A9520C0c9b83BAEc7b846c	Polygon	Rio
0xffD343a7F20093E9bcefe45Af552C1718059329E	Celo	Celo Launch
0x88779b5e8ABf203577A1c6d8F51abA7090AC75Bc	Celo	Celo 10
0x32Bd3ce981A575569d4bf1179f6B70D14Cf8E881	Celo	Celo Community
0x6DB09107Ba2aeb750691d67329A866EF7573Dd5E	Celo	Celoween
0x90f13aBbe52A1055B7eE3A69654C2a924CFB6a7d	Celo	Snow Pool
0x063502593e72726eBAD778e9E9648fb69e8E5f38	Celo	Celo Punks
0xbdAbD380D0f16a3F0bB03c5E186C834B90002924	Celo	Celo NFTs
0x173fdeEaC60418750c11d6B9Cc0c1c0E33111cec	Celo	Kenyan Digital Microworkers
0xe2Db3Ff23adF232b0dB2c652d50B413f6511BAcd	Celo	Celo-brate 100 cUSD
0x1D1371508dbD1C5C361780e397835B15DaCb4261	Celo	Celo-brate 10 CELO monthly
0x41C8Cf533719cDb67244Ce12d1453923762fe8CF	Celo	Ari-Ready?
0xA708610588DF1c5497D7efB58D2ed69F63a69196	Celo	LongHash
0x7Cdf5A7333f5590C86df0e2C651C3468B4235743	Celo	cREAL Samba
0x0111FF3F707e0cAba64123C490CdB559d826D04B	Celo	cUSD Samba
0xAb98026b821d46c135f0565Caac23bb323AeA0A5	Celo	Women's Day CELO
0xfCcEd47A38CdE380495e47f216c8A3072e97b9E8	Celo	Women's Day cUSD
0x1555B57448764CA2865644b2Af2dc649b293a514	Celo	Celo Mobile
0x2d18A07440A5061b4cD0375A7a57d9A382a0917A	Celo	Flywallet Pilot
0xD144f0848A3b1C08ABBF33c976Ed9fd2E822729c  Celo    The Second Wave
0x2609Ccce86a5C8761be7344306fa8857946D1B95	Celo	KnoxDAO
0xf54658d51a33525bE5CA67C45F81B34F56055cC1	Celo	1st Anniversary Celo Pool
0xF95799b722EA41e13641AE2fCbd27B3d96Ac54fd	Celo	Ibiza
0x8C76BC8b993b671A14Ef598705DdAee244c3A633	Celo	Hawaii
